databricks_record_id,customer_key,business_unit,audience_count,last_refreshed_at
DBX-AUD-50012,ACC-2001,Retail,132150,2026-07-01 06:12:00
DBX-AUD-50013,ACC-2002,Apparel,91220,2026-07-01 06:12:00
DBX-AUD-50014,ACC-2003,Financial Services,205600,2026-07-01 06:13:00
DBX-AUD-50015,ACC-2004,NA Consumer,312400,2026-07-01 06:14:00
DBX-AUD-50016,ACC-2004,EMEA Consumer,141900,2026-07-01 06:14:00
DBX-AUD-50017,ACC-2004,APAC Consumer,88300,2026-07-01 06:14:00
DBX-AUD-50019,ACC-2006,Media,60050,2026-05-08 09:40:00
DBX-AUD-50020,ACC-2007,Digital,486200,2026-07-01 06:15:00
DBX-AUD-50021,ACC-2008-OLD,CPG,114700,2026-07-01 06:16:00
DBX-AUD-50022,ACC-2009,Combined Legacy,171000,2026-07-01 06:17:00
DBX-AUD-50023,ACC-2010,Retail Solutions,47900,2026-07-01 06:18:00
DBX-AUD-50024,ACC-2011,Consumer Tech,1142800,2026-07-01 06:19:00
