customer_key,business_unit,snapshot_date,audience_count
ACC-2001,Retail,2026-06-17,129800
ACC-2001,Retail,2026-06-24,131000
ACC-2001,Retail,2026-07-01,132150
ACC-2002,Apparel,2026-06-17,90100
ACC-2002,Apparel,2026-06-24,90700
ACC-2002,Apparel,2026-07-01,91220
ACC-2003,Financial Services,2026-06-17,201500
ACC-2003,Financial Services,2026-06-24,203400
ACC-2003,Financial Services,2026-07-01,205600
ACC-2004,NA Consumer,2026-06-17,308900
ACC-2004,NA Consumer,2026-06-24,310700
ACC-2004,NA Consumer,2026-07-01,312400
ACC-2004,EMEA Consumer,2026-06-17,139200
ACC-2004,EMEA Consumer,2026-06-24,140500
ACC-2004,EMEA Consumer,2026-07-01,141900
ACC-2004,APAC Consumer,2026-06-17,86800
ACC-2004,APAC Consumer,2026-06-24,87500
ACC-2004,APAC Consumer,2026-07-01,88300
ACC-2006,Media,2026-05-08,60050
ACC-2007,Digital,2026-06-17,9100
ACC-2007,Digital,2026-06-24,9600
ACC-2007,Digital,2026-07-01,486200
ACC-2008-OLD,CPG,2026-06-17,112900
ACC-2008-OLD,CPG,2026-06-24,113800
ACC-2008-OLD,CPG,2026-07-01,114700
ACC-2009,Combined Legacy,2026-06-17,168000
ACC-2009,Combined Legacy,2026-06-24,169500
ACC-2009,Combined Legacy,2026-07-01,171000
ACC-2010,Retail Solutions,2026-06-17,47300
ACC-2010,Retail Solutions,2026-06-24,47600
ACC-2010,Retail Solutions,2026-07-01,47900
ACC-2011,Consumer Tech,2026-06-17,1121000
ACC-2011,Consumer Tech,2026-06-24,1132400
ACC-2011,Consumer Tech,2026-07-01,1142800
